frame,time_seconds,lifter_id,class,confidence,x1,y1,x2,y2,X_3D,Y_3D,Z_3D,W_3D,H_3D,D_3D
35,1.459,3,lifter,0.6734,1577,740,1659,920,-4.6075,0.2137,11.4315,0.4889,1.046,0.2282
35,1.459,4,lifter,0.2494,1341,1153,1666,1504,-5.2712,0.2564,13.0369,0.5548,1.19,0.249
35,1.459,5,lifter,0.1894,772,1171,1068,1512,-4.5723,0.2114,11.3446,0.4846,1.0376,0.2266
36,1.5,1,lifter,0.7917,194,1067,466,1512,-4.2492,0.1926,10.5506,0.4479,0.9599,0.2078
36,1.5,2,lifter,0.675,218,684,348,922,-6.1699,0.3076,15.2317,0.6508,1.3957,0.2885
36,1.5,3,lifter,0.6644,1577,740,1660,920,-4.5952,0.213,11.4014,0.4875,1.0431,0.2276
36,1.5,4,lifter,0.2488,1341,1153,1666,1504,-5.2713,0.2564,13.0373,0.5548,1.19,0.249
36,1.5,5,lifter,0.1882,772,1171,1068,1512,-4.5721,0.2114,11.3441,0.4846,1.0375,0.2266
37,1.542,1,lifter,0.7916,194,1067,466,1512,-4.2498,0.1926,10.5521,0.4479,0.96,0.2079
37,1.542,2,lifter,0.6903,1576,736,1660,920,-4.6829,0.2182,11.616,0.4972,1.0638,0.2322
37,1.542,3,lifter,0.6765,217,684,348,922,-6.1916,0.3089,15.2848,0.6531,1.4007,0.2895
37,1.542,4,lifter,0.2483,1341,1153,1666,1504,-5.2717,0.2565,13.0383,0.5548,1.1901,0.2491
37,1.542,5,lifter,0.1872,772,1171,1068,1512,-4.5718,0.2114,11.3434,0.4846,1.0375,0.2266
38,1.584,1,lifter,0.7916,194,1067,466,1512,-4.25,0.1927,10.5528,0.448,0.9601,0.2079
38,1.584,2,lifter,0.701,1576,736,1661,920,-4.6673,0.2172,11.5778,0.4954,1.0601,0.2313
38,1.584,3,lifter,0.6776,217,684,348,923,-6.1768,0.308,15.2487,0.6515,1.3973,0.2888
38,1.584,4,lifter,0.2481,1341,1153,1666,1504,-5.2714,0.2564,13.0375,0.5548,1.19,0.2491
38,1.584,5,lifter,0.1869,772,1171,1068,1512,-4.5718,0.2114,11.3433,0.4846,1.0375,0.2266
39,1.625,1,lifter,0.7916,194,1067,466,1512,-4.2501,0.1927,10.5529,0.448,0.9601,0.2079
39,1.625,2,lifter,0.7231,1577,737,1661,920,-4.656,0.2166,11.5502,0.4942,1.0575,0.2307
39,1.625,3,lifter,0.6765,217,684,348,923,-6.1786,0.3081,15.253,0.6517,1.3977,0.2889
