frame,time_seconds,confidence,x1,y1,x2,y2,X_3D,Y_3D,Z_3D,W_3D,H_3D,D_3D
89,3.709,0.7685,227,685,345,922,-6.5474,0.33,16.154,0.6914,1.4834,0.307
90,3.751,0.7682,227,685,345,922,-6.5443,0.3298,16.1464,0.691,1.4826,0.3068
91,3.793,0.7677,227,685,345,922,-6.5508,0.3302,16.1624,0.6917,1.4842,0.3071
92,3.834,0.7649,227,685,345,922,-6.5498,0.3302,16.16,0.6916,1.4839,0.3071
93,3.876,0.7659,227,685,345,922,-6.5512,0.3302,16.1633,0.6918,1.4842,0.3072
94,3.918,0.7674,227,685,345,922,-6.5493,0.3301,16.1587,0.6916,1.4838,0.3071
95,3.959,0.7675,227,685,346,922,-6.5506,0.3302,16.1619,0.6917,1.4841,0.3072
96,4.001,0.7661,227,685,346,922,-6.5479,0.3301,16.1554,0.6914,1.4835,0.307
97,4.043,0.7668,227,685,346,922,-6.56,0.3308,16.1847,0.6927,1.4863,0.3076
98,4.084,0.767,228,685,345,922,-6.5984,0.333,16.2786,0.6968,1.4952,0.3094
99,4.126,0.7667,228,685,345,922,-6.5984,0.333,16.2786,0.6968,1.4952,0.3094
100,4.168,0.7956,225,685,345,923,-6.5211,0.3284,16.0897,0.6885,1.4772,0.3057
101,4.209,0.7946,225,685,345,923,-6.522,0.3285,16.0921,0.6886,1.4775,0.3057
102,4.251,0.7946,225,685,345,923,-6.5174,0.3282,16.0808,0.6881,1.4764,0.3055
103,4.293,0.8002,226,685,346,924,-6.5695,0.3313,16.2081,0.6938,1.4885,0.3081
104,4.334,0.8014,226,685,346,924,-6.5705,0.3314,16.2104,0.6939,1.4887,0.3082
105,4.376,0.8019,226,685,346,924,-6.5713,0.3315,16.2125,0.6939,1.4889,0.3082
106,4.418,0.7948,225,685,346,924,-6.4916,0.3267,16.0176,0.6853,1.4704,0.3043
107,4.459,0.7955,225,685,346,924,-6.5026,0.3274,16.0446,0.6865,1.473,0.3048
108,4.501,0.7956,225,685,346,924,-6.5027,0.3274,16.045,0.6865,1.473,0.3048
109,4.543,0.7979,226,685,346,924,-6.5794,0.3319,16.2322,0.6948,1.4908,0.3086
110,4.584,0.7989,225,684,346,924,-6.5068,0.3276,16.0549,0.6869,1.4739,0.305
111,4.626,0.7959,225,684,346,924,-6.5037,0.3274,16.0473,0.6866,1.4732,0.3049
112,4.668,0.7956,225,684,346,924,-6.5095,0.3278,16.0616,0.6872,1.4746,0.3051
113,4.709,0.7974,225,685,346,924,-6.4942,0.3269,16.0241,0.6856,1.471,0.3044
114,4.751,0.7943,225,684,346,924,-6.4911,0.3267,16.0167,0.6853,1.4703,0.3043
115,4.793,0.7953,225,684,346,924,-6.5074,0.3276,16.0563,0.687,1.4741,0.305
116,4.834,0.7966,225,684,346,924,-6.5102,0.3278,16.0634,0.6873,1.4747,0.3052
117,4.876,0.7968,225,684,346,924,-6.5115,0.3279,16.0663,0.6875,1.475,0.3052
118,4.918,0.7989,225,685,346,924,-6.4909,0.3267,16.016,0.6853,1.4703,0.3043
119,4.959,0.8009,226,685,346,924,-6.5647,0.3311,16.1964,0.6932,1.4874,0.3079
120,5.001,0.7953,225,684,346,923,-6.5303,0.329,16.1125,0.6895,1.4794,0.3061
121,5.043,0.7936,225,684,346,923,-6.528,0.3288,16.1066,0.6892,1.4788,0.306
122,5.084,0.7918,225,684,346,924,-6.5093,0.3277,16.061,0.6872,1.4745,0.3051
123,5.126,0.7963,225,684,346,924,-6.5072,0.3276,16.0558,0.687,1.474,0.305
124,5.168,0.7948,225,684,346,924,-6.518,0.3283,16.0823,0.6881,1.4765,0.3055
125,5.21,0.7949,225,684,346,924,-6.5157,0.3281,16.0766,0.6879,1.476,0.3054
126,5.251,0.7924,225,684,346,924,-6.5139,0.328,16.0724,0.6877,1.4756,0.3053
127,5.293,0.7939,225,684,346,924,-6.5052,0.3275,16.0509,0.6868,1.4736,0.3049
128,5.335,0.7928,225,684,346,924,-6.5006,0.3272,16.0397,0.6863,1.4725,0.3047
129,5.376,0.7883,225,684,346,924,-6.5109,0.3278,16.065,0.6874,1.4749,0.3052
130,5.418,0.7886,225,684,346,924,-6.5082,0.3277,16.0583,0.6871,1.4743,0.3051
131,5.46,0.793,225,684,346,924,-6.4995,0.3272,16.0371,0.6862,1.4723,0.3046
132,5.501,0.7913,225,684,346,924,-6.4992,0.3272,16.0363,0.6861,1.4722,0.3046
133,5.543,0.79,225,684,346,924,-6.4989,0.3271,16.0358,0.6861,1.4721,0.3046
134,5.585,0.7873,225,684,346,924,-6.5063,0.3276,16.0538,0.6869,1.4738,0.305
135,5.626,0.7908,225,684,345,924,-6.5224,0.3285,16.0931,0.6886,1.4775,0.3057
136,5.668,0.792,226,684,346,924,-6.5767,0.3317,16.2257,0.6945,1.4902,0.3084
137,5.71,0.7909,226,684,346,924,-6.587,0.3324,16.2507,0.6956,1.4926,0.3089
138,5.751,0.7897,225,684,346,924,-6.5125,0.3279,16.0688,0.6875,1.4753,0.3053
139,5.793,0.7929,226,684,346,924,-6.5829,0.3321,16.2408,0.6952,1.4916,0.3087
140,5.835,0.7911,226,684,346,924,-6.5806,0.332,16.2351,0.6949,1.4911,0.3086
141,5.876,0.7911,225,684,345,923,-6.5455,0.3298,16.1495,0.6911,1.4829,0.3068
142,5.918,0.7862,225,684,345,924,-6.5293,0.3289,16.1099,0.6893,1.4791,0.306
143,5.96,0.7869,225,685,346,924,-6.4944,0.3269,16.0246,0.6856,1.4711,0.3044
144,6.001,0.7848,225,684,346,924,-6.5008,0.3272,16.0402,0.6863,1.4726,0.3047
145,6.043,0.7896,225,684,346,924,-6.5217,0.3285,16.0912,0.6885,1.4774,0.3057
146,6.085,0.7877,225,684,346,924,-6.5212,0.3284,16.0901,0.6885,1.4773,0.3057
